Deal_ID,Company,Industry,Region,AE_Owner,Product,Stage,ARR_USD,Contract_Length_Months,Probability_Pct,Expected_Close_Date,Lead_Source,Days_In_Stage,Last_Activity_Date,Notes
DEAL-2025-0001,SAP,Retail,EMEA,Marcus Williams,Astra Enterprise Suite,Proposal Sent,25000,36,50,2025-01-28,Event,18,2025-01-02,Strong champion
DEAL-2025-0002,Deloitte,Energy,EMEA,Emma Schmidt,Astra Analytics,Prospecting,95000,36,10,2025-02-28,Partner Referral,39,2025-01-26,Strong champion
DEAL-2025-0003,Databricks,Technology,EMEA,James O'Brien,Astra Workflow,Negotiation,72000,36,65,2025-01-12,Event,28,2025-01-04,Decision by EoQ
DEAL-2025-0004,Toast,Energy,NAMER,Emma Schmidt,Astra Core,Contract Review,650000,24,80,2025-03-19,Content Download,3,2025-01-21,Decision by EoQ
DEAL-2025-0005,Brex,Retail,APAC,Marcus Williams,Astra Analytics,Proposal Sent,1200000,12,50,2025-01-22,Partner Referral,3,2025-01-15,Decision by EoQ
DEAL-2025-0006,Salesforce,Healthcare,EMEA,James O'Brien,Astra Analytics,Prospecting,180000,12,10,2025-02-22,Partner Referral,43,2025-01-30,On track
DEAL-2025-0007,KPMG,Media,LATAM,Yuki Tanaka,Astra Core,Discovery,180000,12,20,2025-01-28,Webinar,15,2025-01-11,POC in progress
DEAL-2025-0008,Infosys,Technology,EMEA,James O'Brien,Astra Enterprise Suite,Proposal Sent,240000,36,50,2025-03-18,Webinar,30,2025-01-19,Multi-year deal possible
DEAL-2025-0009,Cognizant,Energy,LATAM,Marcus Williams,Astra Core,Closed Won,240000,24,100,2025-01-14,Webinar,15,2025-01-06,Multi-year deal possible
DEAL-2025-0010,Toast,Energy,APAC,Sarah Chen,Astra Core,Proposal Sent,240000,24,50,2025-03-27,Content Download,39,2025-01-09,Decision by EoQ
DEAL-2025-0011,Accenture,Technology,EMEA,Marcus Williams,Astra Workflow,Prospecting,240000,12,10,2025-03-26,Customer Referral,30,2025-01-07,Evaluating competitors
DEAL-2025-0012,Accenture,Real Estate,APAC,David Kim,Astra Core,Discovery,72000,36,20,2025-01-21,Content Download,34,2025-01-26,Legal review ongoing
DEAL-2025-0013,McKinsey,Government,NAMER,Priya Patel,Astra Analytics,Discovery,95000,36,20,2025-03-25,Customer Referral,6,2025-01-06,Legal review ongoing
DEAL-2025-0014,Zoho,Retail,APAC,Emma Schmidt,Astra Workflow,Demo Completed,650000,24,35,2025-02-26,Event,14,2025-01-04,POC in progress
DEAL-2025-0015,Monday.com,Retail,EMEA,Sarah Chen,Astra Core,Discovery,180000,12,20,2025-03-11,Outbound SDR,38,2025-01-03,Strong champion
DEAL-2025-0016,Salesforce,Government,EMEA,Priya Patel,Astra Enterprise Suite,Contract Review,48000,36,80,2025-03-25,Outbound SDR,16,2025-01-26,At risk - champion left
DEAL-2025-0017,Brex,Education,APAC,Emma Schmidt,Astra Insights,Contract Review,95000,12,80,2025-02-11,Webinar,7,2025-01-21,No budget confirmed
DEAL-2025-0018,SAP,Retail,EMEA,David Kim,Astra Analytics,Prospecting,1200000,24,10,2025-02-15,Partner Referral,7,2025-01-15,POC in progress
DEAL-2025-0019,BCG,Financial Services,NAMER,Marcus Williams,Astra Analytics,Contract Review,48000,24,80,2025-01-23,Event,36,2025-01-16,POC in progress
DEAL-2025-0020,Accenture,Education,APAC,David Kim,Astra Workflow,Contract Review,25000,12,80,2025-02-27,Webinar,25,2025-01-23,At risk - champion left
DEAL-2025-0021,Notion,Energy,NAMER,Carlos Mendez,Astra Core,Prospecting,125000,12,10,2025-01-28,Event,4,2025-01-17,On track
DEAL-2025-0022,PwC,Real Estate,NAMER,James O'Brien,Astra Insights,Prospecting,480000,12,10,2025-01-28,Outbound SDR,12,2025-01-19,Strong champion
DEAL-2025-0023,Asana,Energy,APAC,Yuki Tanaka,Astra Analytics,Proposal Sent,240000,36,50,2025-03-20,Outbound SDR,38,2025-01-09,Multi-year deal possible
